SV,RMSE_S1C,RMSE_D1C_Hz,RMSE_C1C_m
1,0.423343822148405,231.729897335941,88177.2572789699
2,0.492203913949035,233.500401304659,86297.8140598158
3,0.411423588545913,276.561604423554,90895.2178421848
8,0.530318991331106,227.126819458071,86012.3975414439
10,0.633962878798579,195.574050311257,82833.3051637487
14,0.442078866375741,267.857233781396,67564.8138113334
16,0.546282999312778,216.984733535808,83516.1353818839
17,0.546525087303988,281.393984420273,64088.3239539718
22,0.80225947440727,321.261089602511,143255.400755138
27,0.442297224778874,219.135768451988,83380.8897912972
32,0.397104784448387,235.11262482915,82236.9637787301
