SV,RMSE_S1C,RMSE_D1C_Hz,RMSE_C1C_m
1,0.119977459625882,145.89404966624,6.14214632818598
2,0.189987192380435,152.514514930409,6.75016078415465
3,0.121765066995187,186.344977678166,5.23448281695422
8,0.135288376095524,148.381280289949,6.50635064289332
10,0.132011575246737,128.445044956607,6.71390507188832
14,0.142216937875123,183.926528446117,4.54032088193854
16,0.185795433951728,124.61791896738,12.0319829591577
17,NaN,NaN,NaN
22,0.472803764790426,322.048175230584,6.6068417544184
27,0.141967781307291,142.571510542327,5.42187718375088
32,0.133307202673549,150.157409779855,5.00393542822875
